Genes,sub-cen,clo-cen,degree,katz,p-rank,classes
AT4G03270,1.543080635,0.333333333,0.333333333,0.5,0.25,0
AT4G03280,1.543080635,0.333333333,0.333333333,0.5,0.25,1
AT5G01830,1.543080635,0.333333333,0.333333333,0.5,0.25,2
AT5G09660,1.543080635,0.333333333,0.333333333,0.5,0.25,3
